Input,Real_Phonemes,Reference,Prediction,WER,PER
IH T | IH Z | L AY K | AH | K AH N T R IY |,IH T | IH Z | L AY K | AH | K AH N T R IY |,It is like a country.,It is like a country.,0,0
IH N | DH AH | D IH S T R AH K N |,IH N | DH AH | D IH S T R IH K T |,In the district.,In the district.,0,0.1333333333
DH EY | AA R | S OW | S M AO L |,DH EY | AA R | S OW | S M AO L |,They are so small.,They are so small.,0,0
IH T S | L AY K | AH | M IH JH ER | P R AH D EY SH AH N |,IH T S | L AY K | AH | M EY JH ER | P R AH D AH K SH AH N |,It's like a major production.,It's like a major production.,0,0.12
AY L | K EH T | ER AW N D | T UW | AH T |,AY L | G EH T | ER AW N D | T UW | IH T |,I'll get around to it.,I'll get around to it.,0,0.1111111111
Y UW | L UH K | D AW N D | AE T | Y AO R | HH OW M |,Y UW | L UH K | D AW N | AE T | Y AO R | AA R M |,You look down at your arm.,You look down at your home.,0.1666666667,0.1363636364
D AE S | Y IH R | AH V | EY T IY | W UH D |,T AE K S | Y IH R | AH V | EY T IY | W AH N |,Tax year of eighty one.,That's your year of eighty wood.,0.6,0.2
CH EH K | AW T | AW ER | F R IY | V ER ZH AH N Z |,CH EH K | AW T | AW ER | F R IY | V ER ZH AH N Z |,Check out our free versions!,Check out our free versions.,0,0
AY | HH OW P | Y UW | AO L | EH N JH OY | DH IH S |,AY | HH OW P | Y UW | AO L | EH N JH OY | DH IH S |,I hope you all enjoy this!,I hope you all enjoy this.,0,0
W AH T | SH IY L | W IY | D UW |,W AH T | SH AE L | W IY | D UW |,What shall we do?,What will we do?,0.25,0.07142857143
W ER | K W AY T | F UH K AH L | AH B AW T | IH T |,W ER | K W AY T | V OW K AH L | AH B AW T | IH T |,Were quite vocal about it.,We're quite full about it.,0.2,0.09090909091
Y UW | N OW | AY | D OW N T | N OW |,Y UW | N OW | AY | D OW N T | N OW |,You know I don't know.,You know I don't know.,0,0
TH IH NG K | Y UW | F AO R | P AH S IH S OW P IH T IH NG |,TH AE NG K | Y UW | F AO R | P AA R T IH S AH P EY T IH NG |,Thank you for participating.,Think you for proposing.,0.5,0.24
AY | HH OW P | D UW | EH N JH R OY D | DH IH S | AA R AH B AH L |,AY | HH OW P | Y UW | EH N JH OY D | DH IH S | AA R T AH K AH L |,I hope you enjoyed this article.,I hope you enjoy this article.,0.1666666667,0.1481481481
Y UH R | G OW IH NG | T UW | DH AE T | IH T |,Y UH R | G OW IH NG | T UW | G EH T | IH T |,You're going to get it.,You're going to that it.,0.2,0.1052631579
Y UW | K AE N T | K AE T | AO L | AH V | AH S |,Y UW | K AE N T | G EH T | AO L | AH V | AH S |,You can't get all of us.,You can't catch all of us.,0.1666666667,0.09523809524
N AA T | EH V R IY W AH N T | K AE N T | EH N K S AH ER S AY N Z | IH N | DH AH | B R N IH NG |,N AA T | EH V R IY W AH N | K AE N | EH K S ER S AY Z | IH N | DH AH | M AO R N IH NG |,Not everyone can exercise in the morning.,Not everyone can exercise in the basement.,0.1428571429,0.1891891892
AY | W IH L | B IY | M IH Z IH T IH NG | N UW | IH NG L AH N |,AY | W IH L | B IY | V IH Z IH T IH NG | N UW | IH NG G L AH N D |,I will be visiting New England.,I will be missing new England.,0.1666666667,0.1071428571
IH T S | JH AH S T | T UW | HH AE V | AH | B AE T | D AO L G |,IH T S | N AY S | T UW | HH AE V | AH | P EH T | D AO G |,It's nice to have a pet dog.,It's just to have a bat dog.,0.2857142857,0.24
AY | M IY N | HH IY Z | D UW IH NG | ER AW N T D |,AY | M IY N | HH IY Z | D UW IH NG | AO L R AY T |,I mean he's doing alright.,I mean he's doing around.,0.2,0.2380952381
AY | D OW N T | W AA N T | EH N IY | IH N T IH F EH K T IH T Z |,AY | D OW N T | W AA N T | EH N IY | IH N T ER AH P SH AH N Z |,I don't want any interruptions.,I don't want any interruptions.,0,0.2592592593
DH AH | P IY P AH L | AY | N OW | AA R | F R AH M | DH EH R |,DH AH | P IY P AH L | AY | N OW | AA R | F R AH M | DH EH R |,The people I know are from there.,The people I know are from there.,0,0
P AW IH N | DH AH | R IY Z | AE N | AO |,B IH T W IY N | DH AH | R OW Z | AH N D | AO L |,Between the rows and all.,Point in the right direction.,1,0.4285714286
DH AH | D IH S IH ZH AH N | W AA Z | N AA T | IY V IH N | K L OW S |,DH AH | D IH S IH ZH AH N | W AA Z | N AA T | IY V IH N | K L OW Z |,The decision was not even close.,The decision was not even close.,0,0.03448275862
IH F | DH EH R | W AA Z | AH | K R EH D AH B AH L | P AH N IH SH M AH T |,IH F | DH EH R | W AA Z | AH | K R EH D AH B AH L | P AH N IH SH M AH N T |,If there was a credible punishment.,If there was a credible punishment.,0,0.03125
W AH T | K AY N D | AH V | R AY N IH NG | D UW | Y UW | D UW |,W AH T | K AY N D | AH V | R AH N IH NG | D UW | Y UW | D UW |,What kind of running do you do?,What kind of running do you do?,0,0.03703703704
W EH N | DH EY | K AA T | IH N | AH N D | S P IY K |,W EH N | DH EY | K AH T | IH N | AH N D | S P IY K |,When they cut in and speak.,When they come in and speak.,0.1666666667,0.04347826087
D UW | Y UW | TH IH NG K | DH IH S | IH Z | R AY T |,D UW | Y UW | TH IH NG K | DH IH S | IH Z | R AY T |,Do you think this is right?,Do you think this is right?,0,0
Y AO R | S T AO R IY | IH Z | N AA T | K L IH R | EH N IY M AO R |,Y AO R | S T AO R IY | IH Z | N AA T | K L IH R | EH N IY M AO R |,Your story is not clear anymore.,Your story is not clear anymore.,0,0
D IH D | Y UW | HH IY R | F R AH M | AH N AH DH ER | P AA S AH N |,D IH D | Y UW | HH IY R | F R AH M | AH N AH DH ER | P ER S AH N |,Did you hear from another person?,Did you hear from another person?,0,0.03571428571
AY | L AY K | DH AE T | DH EY | R AH D | T EH N T S |,AY | L AY K | DH AE T | DH EY | R AH N | T EH N S |,I like that they run tense.,I like that they read tens.,0.3333333333,0.09090909091
Y UW | HH AE V | T UW | B EY | DH AH | IH N S ER D |,Y UW | HH AE V | T UW | P EY | DH AH | IH N T AH R EH S T |,You have to pay the interest.,You have to be the insider.,0.3333333333,0.28
HH AW | M AH CH | IH Z | Y AO R | K AA R D | W ER TH |,HH AW | M AH CH | IH Z | Y AO R | K AA R D | W ER TH |,How much is your card worth?,How much is your card worth?,0,0
EH T IH NG | M EH R IY D | IH Z | N AA T | AH | K R AY M |,G EH T IH NG | M EH R IY D | IH Z | N AA T | AH | K R AY M |,Getting married is not a crime.,Getting married is not a crime.,0,0.03846153846
F ER S T | T EH R ER | L IH F S | D AH N |,F ER S T | T EH R ER | S L IH P S | D AH N |,first terror slips done,First term life done.,0.5,0.1
AY | R IH L IY | EH N JH OY | DH AE T | T IY M |,AY | R IH L IY | EH N JH OY | DH AE T | T IY M |,I really enjoy that team.,I really enjoy that team.,0,0
K AE N | Y UW | D EY S | W AH T S | IH N | DH IH S |,K AE N | Y UW | G EH S | W AH T S | IH N | DH IH S |,Can you guess what's in this?,Can you guess what's in this?,0,0.08695652174
HH UW | IH Z | R AH L IH T AH D | T UW | HH OW |,HH UW | IH Z | R IH L EY T IH D | T UW | HH UW |,Who is related to who?,Who is related to who?,0,0.2
IH T | W AA Z | B F AO R | D AA T | AH L AO K | IH AE T | N AA T |,IH T | W AA Z | AH B AW T | N AY N | AH K L AA K | AE T | N AY T |,It was about nine o'clock at night.,It was before that all started that night.,0.7142857143,0.3793103448
IH HH IY | ZH ER | R AA Z | DH IH R | Z | AH | CH IH NG | T UW | IY K |,IH N | AH DH ER | W ER D Z | DH EH R | IH Z | AH | CH OY S | T UW | M EY K |,"In other words, there is a choice to make.",He said that there is a thing to check.,0.5555555556,0.40625
AY | D IH D | IH T | AO L | DH AH | N AA B |,AY | D IH D | IH T | AO L | AA N | DH AH | JH AA B |,I did it all on the job.,I did it all the nob.,0.2857142857,0.1818181818
DH EY | AA R | HH IY R | F AO R | AH | P AA P AH S |,DH EY | AA R | HH IY R | F AO R | AH | P ER P AH S |,They are here for a purpose.,They are here for a purpose.,0,0.04545454545
DH EY | AA R | T IH M P IH NG | AE T | T AY M Z |,DH EY | AA R | T EH M P T IH NG | AE T | T AY M Z |,They are tempting at times.,They are timing at times.,0.2,0.09090909091
DH AE T | IH Z | W AH N | DH EH R | TH AO T | IH V | B IH AY D | AH T | W IY K |,DH AE T | IH Z | W AY | DH EH R | K AY N D | AH V | B IH HH AY N D | AA N | W ER K |,That is why they're kind of behind on work.,That is one there thought it would be a great week.,1,0.3333333333
DH IY Z | G AY Z | JH AH S T | W AA AH T | AH T EH N SH AH N |,DH IY Z | G AY Z | JH AH S T | W AA N T | AH T EH N SH AH N |,These guys just want attention.,These guys just want attention.,0,0.03846153846
DH EH R | V EH R IY | AH F AE K T AH N T | W IH DH | W AO N | AH IH N Z AH DH ER |,DH EH R | V EH R IY | AH F EH K SH AH N AH T | W IH DH | W AH N | AH N AH DH ER |,They're very affectionate with one another.,They're very affected with one another.,0.1666666667,0.1818181818
AO L | AH V | DH OW Z | TH IH NG Z | DH AE T | W AH N | D AH S | W IH DH | K IH D Z |,AO L | AH V | DH OW Z | TH IH NG Z | DH AE T | W AH N | D AH Z | W IH DH | K IH D Z |,All of those things that one does with kids.,All of those things that one does with kids.,0,0.02777777778
W IH CH T | W AH M N | IH Z | DH AH | T UW OY S T | EH R IY AH |,W IH CH | W AH N | IH Z | DH AH | T UH R AH S T | EH R IY AH |,Which one is the tourist area?,Which one is the toast area?,0.1666666667,0.1923076923
AY | D OW N T | N OW | W AH | Y UW IH K | AH B AW T | DH AE T |,AY | D OW N T | N OW | W AH T | Y UW | TH IH NG K | AH B AW T | DH AE T |,I don't know what you think about that.,I don't know what you know about that.,0.125,0.1290322581
SH UW | M IY | W AH T | Y UW | HH AE V | G AA T |,SH OW | M IY | W AH T | Y UW | HH AE V | G AA T |,Show me what you have got.,Show me what you have got.,0,0.04761904762
W EH R | AY | G OW | T UW | CH IH CH | S N AW |,W EH R | AY | G OW | T UW | CH ER CH | N AW |,Where I go to church now.,Where I go to church now.,0,0.1052631579
AY | HH AE V | L AY V D | IH N | IH L AH N L OY | AE N | D AE L AH S |,AY | HH AE V | L AY V D | IH N | IH L AH N OY | AH N D | D AE L AH S |,I have lived in Illinois and Dallas.,I have lived in Illinois and Dallas.,0,0.1
W IH L K AH N SH AH N D | HH AE D | N OW | R IH G R EH T | AH B AW T | HH ER | D IH S IH ZH AH N |,W IH L K AH N S AH N | HH AE D | N OW | R IH G R EH T S | AH B AW T | HH ER | D IH S IH ZH AH N |,Wilkinson had no regrets about her decision.,Wilson had no regret about her decision.,0.2857142857,0.07317073171
M AY | M AH DH ER | W AA Z | K AH M P L EY T IH NG | L AA S | Y IH R | AH B AW T | DH AE T |,M AY | M AH DH ER | W AA Z | K AH M P L EY N IH NG | L AE S T | Y IH R | AH B AW T | DH AE T |,My mother was complaining last year about that.,My mother was complaining last year about that.,0,0.075
IH N | F AE K T | DH IH S | G AO N IH NG | W EH N | DH EY | W ER | T AO K IH NG |,IH N | F AE K T | DH IH S | M AO R N IH NG | W EH N | DH EY | W ER | T AO K IH NG |,In fact this morning when they were talking.,"In fact, this was going on when they were talking.",0.375,0.05714285714
DH AH | F EH S T IH | EH R | B EH S T | TH R UW | DH AH | G OW T |,DH AH | F R AO S T IY | EH R | P AE S T | TH R UW | DH AH | K OW T |,The frosty air passed through the coat.,The fastest air is best through the door.,0.5714285714,0.2068965517
G AH N | P AA R G R AH N D Z | AO F L AH K T S | P IH S T EH K T | P IY L Z |,R AH N | B AA R G AH N Z | HH OW P L AH S | P ER S IH S T S | M IY L Z |,run bargains hopeless persists meals,Gun owners around affected people.,1,0.46875
W IY | K AE N T | F AY N D | AH | P L EY S | DH AE T | W IH L | T EY K | EH V R IY TH IH NG |,W IY | K AE N T | F AY N D | AH | P L EY S | DH AE T | W IH L | T EY K | EH V R IY TH IH NG |,We can't find a place that will take everything.,We can't find a place that will take everything.,0,0
L AY K | B IH D IH NG | AH | HH AW S | AO AA R | EH N IY TH IH NG |,L AY K | B IH L D IH NG | AH | HH AW S | AO R | EH N IY TH IH NG |,Like building a house or anything.,Like building a house or anything.,0,0.07407407407
AY | JH AH S T | G AA N D | T UW | DH UW OW Z | T AY P | DH AH | P AA S AH Z |,AY | JH AH S T | K AE N T | D UW | DH OW Z | T AY P S | AH V | P AH Z AH L Z |,I just can't do those types of puzzles.,I just went to those types of places.,0.375,0.3235294118
HH IY | S EH D | DH AH | D IH S IH ZH AH N | T UW | P AA R T | W EY Z | W AA Z | M Y UW P F AH L |,HH IY | S EH D | DH AH | D IH S IH ZH AH N | T UW | P AA R T | W EY Z | W AA Z | M Y UW CH UW AH L |,He said the decision to part ways was mutual.,He said the decision to part ways was mutual.,0,0.04761904762
DH IH S | B R IH NG | M IY | T UW | DH AH | N EH K S T | P OY N T |,DH IH S | B R IH NG Z | M IY | T UW | DH AH | N EH K S T | P OY N T |,This brings me to the next point.,This brings me to the next point.,0,0.03333333333
AY | HH AE V | M AY | OW N | P AA L AH S IY | AA N | F R IY L OW ER Z |,AY | HH AE V | M AY | OW N | P AA L AH S IY | AA N | F R IY L OW D ER Z |,I have my own policy on freeloaders.,I have my own policy on free lovers.,0.2857142857,0.03225806452
IH N | DH AH | N AY S | F AY L N | Y UH R Z |,IH N | DH AH | N EH K S T | F AY V | Y IH R Z |,In the next five years.,In the nice field lines.,0.6,0.2857142857
R IY S EH IH L | T EH L IH NG | S IH R IY AH Z | AH N D ER S T AE N D IH NG | M AO R AH L |,R IY S EY L | T EH L IH NG | S IH R IY AH S | AH N D ER S T AE N D IH NG | M AO R AH L |,resale telling serious understanding moral,"Resilience, telling stories, and understanding morality.",0.8,0.08108108108
DH AH | M AO R N IH NG | S AH N | L AY T | IH Z | K W AY T |,DH AH | M AO R N IH NG | S AH N | L AY T | IH Z | W AY T |,The morning sun light is white.,The morning sun light is quite.,0.1666666667,0.04
| W AA Z | AH | B AY | D AE N | D | D IH F B AH L | G EY M |,IH T | W AA Z | AH | P R AY M | T AY M | F UH T B AO L | G EY M |,It was a prime time football game.,I was a big fan of that difficult game.,0.8571428571,0.4827586207
AO R T IH NG | AA N | DH EH M | AH N D | P EY K IH NG | P EY M AH N T S | AA N | DH EH M |,OW N IH NG | AA N | DH EH M | AH N D | M EY K IH NG | P EY M AH N T S | AA N | DH EH M |,Owning on them and making payments on them.,Putting on them and paying payments on them.,0.25,0.1081081081
W EY S | B AO R N | EH K S EH S AY K IH NG | B OW T | G R AE S F AH L |,W EY V Z | B AO R N | EH K S ER S AY Z IH NG | B OW T | G R EY T F AH L |,waves born exercising boat grateful,We're born excelling both gracefully.,0.8,0.1875
AY | D OW N T | M EY K | DH AE T | M AH CH | M AH N IY |,AY | D OW N T | M EY K | DH AE T | M AH CH | M AH N IY |,I don't make that much money.,I don't make that much money.,0,0
T R T R AH P S | B AH Z AH T | IH Z | JH AH S T | AH | P R AH P OW N AH L | AE T | DH IH S | P OY N T |,T R AH M P S | B AH JH IH T | IH Z | JH AH S T | AH | P R AH P OW Z AH L | AE T | DH IH S | P OY N T |,Trump's budget is just a proposal at this point.,Trump's budget is just a proposal at this point.,0,0.1363636364
AH N D ER S T EH S T IH NG | DH AH | M OW M B AH L | L AE N S K R IH M |,AH N D ER S T AE N D IH NG | DH AH | M OW B AH L | L AE N D S K EY P |,Understanding the mobile landscape.,Understanding the mobile landscape.,0,0.2666666667
CH EH K | DH EY | W OY L | IH N | DH AH | K AA R | F ER S T |,CH EH K | DH AH | OY L | IH N | DH AH | K AA R | F ER S T |,Check the oil in the car first.,Check they will come in the car first.,0.4285714286,0.08
Y UW | JH AH S T | K EY V | IH T | AH W EY |,Y UW | JH AH S T | G EY V | IH T | AH W EY |,You just gave it away.,You just cave it away.,0.2,0.05263157895
DH EY | D OW N T | M IY | DH AE T | DH IH S | W AA Z | DH AH | T AA P IH K |,DH EY | T OW L D | M IY | DH AE T | DH IH S | W AA Z | DH AH | T AA P IH K |,They told me that this was the topic.,They don't mean that this was the topic.,0.25,0.09375
AO DH ER Z | S EH D | DH EY | W ER | D IH S AH P OY N T D |,AH DH ER Z | S EH D | DH EY | W ER | D IH S AH P OY N T IH D |,Others said they were disappointed.,Others said they were disappointed.,0,0.07692307692
IH T S | K AO L D | R EH V R IH NG | M AY | L AY F |,IH T S | K AO L D | R IY V Y UW IH NG | M AY | L AY F |,It's called reviewing my life.,It's called reversing my life.,0.2,0.125
B IH K AO Z | SH IY | M EY K S | K L OW DH Z |,B IH K AO Z | SH IY | M EY K S | K L OW DH Z |,Because she makes clothes.,Because she makes clothes.,0,0
T EH N D | M AH N T S | L IH T AH L | HH IY | S EH D |,T EH N | M AH N TH S | L EY T ER | HH IY | S EH D |,Ten months later he said.,"Ten months later, he said.",0,0.2272727273
W IY | N OW | W AA N T | W IY | K AE N | D UW |,W IY | N OW | W AH T | W IY | K AE N | D UW |,We know what we can do.,We know what we can do.,0,0.1
M AY | S AH N T | R IH L IY | P W EH N T IH | AH | B IH G | B IH D |,M AY | S AH N | R IH L IY | W AO N T IH D | AH | P EH T | B ER D |,My son really wanted a pet bird.,My son sent a big bid.,0.5714285714,0.275862069
Y UW | D OW N T | G EH T | M R IH L IY | IH N AH F | EH K S ER S AY S |,Y UW | D OW N T | G EH T | N IH R L IY | IH N AH F | EH K S ER S AY Z |,You don't get nearly enough exercise.,You don't get really enough exercise.,0.1666666667,0.1290322581
DH AE T S | SH AH S T | DH AH | W EY | IH T | W AA Z |,DH AE T S | JH AH S T | DH AH | W EY | IH T | W AA Z |,That's just the way it was.,That's just the way it was.,0,0.04347826087
Y UW | S T AA R T | T UW | T EY K | P L EH ZH ER | IH N | IH T |,Y UW | S T AA R T | T UW | T EY K | P L EH ZH ER | IH N | IH T |,You start to take pleasure in it.,You start to take pleasure in it.,0,0
IH T | IH Z | IY Z IY ER | T UW | G OW | W IH TH AW T | F UW D |,IH T | IH Z | IY Z IY ER | T UW | G OW | W IH TH AW T | F UW D |,It is easier to go without food.,It is easier to go without food.,0,0
DH EH R | W ER | N OW | R IY P L AO R T Z | AH V | K AE ZH W AH L T IY Z |,DH EH R | W ER | N OW | R IH P AO R T S | AH V | K AE ZH AH W AH L T IY Z |,There were no reports of casualties.,There were no reports of casualties.,0,0.125
IH Z | SH IY | G OW IH NG | T UW | S T EY | HH OW M |,IH Z | SH IY | G OW IH NG | T UW | S T EY | HH OW M |,Is she going to stay home?,Is she going to stay home?,0,0
SH IY L | B IY | T UW | Y IH R Z | OW L D | AH N | D IH S L AY |,SH IY L | B IY | T UW | Y IH R Z | OW L D | IH N | JH UW L AY |,She'll be two years old in July.,She'll be two years old and dissatisfied.,0.2857142857,0.1481481481
AY | D OW N T | D UW | IH F | Y UW V | T R AY D | IH T |,AY | D OW N T | N OW | IH F | Y UW V | T R AY D | IH T |,I don't know if you've tried it.,I don't do if you've tried it.,0.1428571429,0.08
Y UW | HH AE V | T UW | G EH T | EH V R IY TH IH NG | R IH P L IY S |,Y UW | HH AE V | T UW | G EH T | EH V R IY TH IH NG | R IY P L EY S T |,You have to get everything replaced.,You have to get everything right.,0.1666666667,0.1
IH T S | W AO K IH NG | AH P | T UW | AH | Y IH R | N AW |,IH T S | W ER K IH NG | AH P | T UW | AH | Y IH R | N AW |,It's working up to a year now.,It's walking up to a year now.,0.1428571429,0.04
HH AE V AH N | T UW | M AH CH | P AW ER | G AE N | B IY | D IH F AH K AH N T |,HH AE V IH NG | T UW | M AH CH | P AW ER | K AE N | B IY | D IH F AH K AH L T |,Having too much power can be difficult.,Having too much power can be difficult.,0,0.1212121212
AY | W UH D | N AA T | M AY N D | IH T |,AY | W UH D | N AA T | M AY N D | IH T |,I would not mind it.,I would not mind it.,0,0
IH T S | AY | W EY K | W EH R IY | IH N D ER S T IH |,IH T S | AH | K W IH K | G R OW IH NG | IH N D AH S T R IY |,It's a quick growing industry.,It's a wake where it's interesting.,0.8,0.4230769231
JH AH S T | F IH N IY | F IY L Z | W AO TH | AH V | HH IY R |,JH AH S T | F AO R T IY | M AY L Z | N AO R TH | AH V | HH IY R |,Just forty miles north of here.,"Just fine, feels what of here?",0.5,0.25
G AA T | IH N T UW | IH T | W EH N | AY | W AA Z | Y AH NG |,G AA T | IH N T UW | IH T | W EH N | AY | W AA Z | Y AH NG |,Got into it when I was young.,Got into it when I was young.,0,0
AY | T R AY | T UW | EH M P R EH S | IH T |,AY | T R AY | T UW | EH M B R EY S | IH T |,I try to embrace it.,I try to express it.,0.2,0.1052631579
DH AH | F UW | F AH M | HH IY R | IH Z | N AA T | W IH DH | IH T |,DH AH | V Y UW | F R AH M | HH IY R | IH Z | N AA T | W ER TH | IH T |,The view from here is not worth it.,The few folks here is not with it.,0.375,0.1666666667
Y UW | K AE N | K AH M | AH N D | G OW | HH AE Z | Y UW | P L EY Z |,Y UW | K AE N | K AH M | AH N D | G OW | AE Z | Y UW | P L IY Z |,You can come and go as you please.,You can come and go as you please.,0,0.06896551724
S OW SH AH L | S T EY T S | S IY V | M AO R | V EH N AH F IH T S | T UW | EH M P L OY IY Z |,S OW SH AH L | S T EY T S | G IH V | M AO R | B EH N AH F IH T S | T UW | EH M P L OY IY Z |,Social states give more benefits to employees.,Social states see more benefits to employees.,0.1428571429,0.075
D UW | Y UW | HH AE V | EH N IY | K IH D Z | AO R | P EH N T S |,D UW | Y UW | HH AE V | EH N IY | K IH D Z | AO R | P EH T S |,Do you have any kids or pets?,Do you have any kids or pets?,0,0.03703703704
DH AE T | W UH D | B IY | D EH F AH S IH K T IH NG | AY M | SH UH R |,DH AE T | W UH D | B IY | D EH V AH S T EY T IH NG | AY M | SH UH R |,That would be devastating I'm sure.,That would be devastating I'm sure.,0,0.1034482759
AY | R IH L IY | D OW N T | HH AE V | EH N IY | P R AA B L AH M | W IH DH | IH T |,AY | R IH L IY | D OW N T | HH AE V | EH N IY | P R AA B L AH M | W IH DH | IH T |,I really don't have any problem with it.,I really don't have any problem with it.,0,0
W AH T | W UH D | Y UW | F AY N D | IH F | Y UW | JH AH S T | K IH P | AA N | D UW IH NG |,W AH T | W UH D | Y UW | F AY N D | IH F | Y UW | JH AH S T | K EH P T | AA N | G OW IH NG |,What would you find if you just kept on going?,What would you find if you just keep on doing?,0.2,0.1
AA R | Y UW | EY B AH L | T UW | K AH M | W IH DH | M IY | N EH K S T | W IY K |,AA R | Y UW | EY B AH L | T UW | K AH M | W IH DH | M IY | N EH K S T | W IY K |,Are you able to come with me next week?,Are you able to come with me next week?,0,0
W IY | K EY M | F R AH M | L IH V IH NG | IH N | AH | K AA N D OW | F AO R | N AY N | Y IH R Z |,W IY | K EY M | F R AH M | L IH V IH NG | IH N | AH | K AA N D OW | F AO R | N AY N | Y IH R Z |,We came from living in a condo for nine years.,We came from living in a condo for nine years.,0,0
IH T | IH Z | T AY M | W IY | M EY D | DH AE T | D IH S IH ZH AH N | T AH G EH DH ER |,IH T | IH Z | T AY M | W IY | M EY D | DH AE T | D IH S IH ZH AH N | T AH G EH DH ER |,It is time we made that decision together.,It is time we made that decision together.,0,0
K AO L | M IY | W AH N S | Y UW | G EH T | HH IY R |,K AO L | M IY | W AH N S | Y UW | G EH T | HH IY R |,Call me once you get here.,Call me once you get here.,0,0
T EY K | AH | M IH S | AH V | B IH P IH K | T UW | SH AA R | AA N |,T EY K | AH | P IY S | AH V | P EY P ER | T UW | D R AO | AA N |,Take a piece of paper to draw on.,Take a miss of a picnic to share on.,0.5,0.3214285714
D IH S IH ZH AH N Z | DH AE T | AA R | B IY IH NG | M EY D | B AY | W ER L D | L OW N ER Z |,D IH S IH ZH AH N Z | DH AE T | AA R | B IY IH NG | M EY D | B AY | W ER L D | L IY D ER Z |,Decisions that are being made by world leaders.,Decisions that are being made by world leaders.,0,0.05128205128
AY | D OW N T | N OW | IH F | W IY V | HH ER D | AH V | HH ER |,AY | D OW N T | N OW | IH F | Y UW V | HH ER D | AH V | HH ER |,I don't know if you've heard of her.,I don't know if we've heard of her.,0.125,0.07407407407
JH AH S T | P UH T | Y AO R | P EY P ER | IH N | DH AH | S EY M | P L EY S | EH V ER IY | D EY |,JH AH S T | P UH T | Y AO R | P EY P ER | IH N | DH AH | S EY M | P L EY S | EH V ER IY | D EY |,Just put your paper in the same place every day.,Just put your paper in the same place every day.,0,0
HH IY | W AH N | AH | F IY | T R IH P | AO R | S IH M TH IH NG | IH L AO NG | L DH OW DH Z | L AA S |,HH IY | W AH N | AH | F R IY | T R IH P | AO R | S AH M TH IH NG | AH L AO NG | DH OW Z | L AY N Z |,He won a free trip or something along those lines.,He won a few trips or something like that.,0.5,0.1904761905
DH IH NG S | IH Z | AH N D | IH F EH V AH N | AH V | P AH Z AH S IY | IH N S T UW |,DH IH S | IH Z | AE N | IH N V EY ZH AH N | AH V | P R AY V AH S IY | IH SH UW |,This is an invasion of privacy issue.,This is and even number of possibilities in this case.,1,0.3939393939
F IH V ER | HH IH M | AH P | AH N D | K EY P | HH IH M | W AO R M |,K AH V ER | HH IH M | AH P | AH N D | K IY P | HH IH M | W AO R M |,Cover him up and keep him warm.,Fiver him up and keep him warm.,0.1428571429,0.1034482759
AY | W AO N D ER | W EH R | DH EY | TH AO D | T UW | T UW | DH AE T |,AY | W AH N D ER | W EH R | DH EY | L ER N IH D | T UW | D UW | DH AE T |,I wonder where they learned to do that.,I wonder where they thought to do that.,0.125,0.1935483871
IH T | IH Z | IH K S P R EH S IH V | IH N | M AO R | DH AE N | JH AH S T | K W EH L T AH N T IY |,IH T | IH Z | IH M P R EH S IH V | IH N | M AO R | DH AE N | JH AH S T | K W AA N T AH T IY |,It is impressive in more than just quantity.,It is expressive in more than just quantity.,0.125,0.125
AY | W UH D | L AH V | T UW | B IY | AH | P AA R T | AH V | DH IH S |,AY | W UH D | L AH V | T UW | B IY | AH | P AA R T | AH V | DH IH S |,I would love to be a part of this.,I would love to be a part of this.,0,0
K R AY V | M IY D | T ER D | W AO N T AH N | F AO AY IH NG | S AH M W EH R |,K R AY M | M EH N | T ER N | K UH D AH N T | M AO R N IH NG | S AH M W EH R |,crime men turn couldn't morning somewhere.,We need to decide where we want to go.,1.5,0.3529411765
AE T IH NG | F ER S T | L IY V Z | T UW | R AH K | S AH M Z |,AE D IH NG | F AE S T | L IY D Z | T UW | R AO NG | S AH M Z |,Adding fast leads to wrong sums.,Putting first leaves to rook some.,0.8333333333,0.1851851852
N AH TH IH NG | W IH L | CH EY N JH | M AY | HH AA R T | AA N | DH IH S | B EH T ER |,N AH TH IH NG | W IH L | CH EY N JH | M AY | HH AA R T | AA N | DH IH S | M AE T ER |,Nothing will change my heart on this matter.,Nothing will change my heart on this better.,0.125,0.05714285714
AY | P L EY D | AH | L AA JH | R OW L | IH N | DH AE T | D IH S IH ZH AH N |,AY | P L EY D | AH | L AA R JH | R OW L | IH N | DH AE T | D IH S IH ZH AH N |,I played a large role in that decision.,I played a large role in that decision.,0,0.0303030303
DH AH | N EY B ER | AH K ER AO Z | DH AH | T R IY T | CH AH S T | M UW V D | IH N |,DH AH | N EY B ER | AH K R AO S | DH AH | S T R IY T | JH AH S T | M UW V D | IH N |,The neighbor across the street just moved in.,The neighbor across the street just moved in.,0,0.1111111111
B OW TH | L AY K T | DH EH R | L AY V Z | IH N | DH AH | EY JH IY | S T AY M |,B OW TH | L AO S T | DH EH R | L IH V Z | IH N | DH AH | R EY JH IH NG | S T AO R M |,Both lost their lives in the raging storm.,Both liked their lives in the early eighties.,0.375,0.2222222222
AY | N OW | W AH T | DH AH | D IY L | W AA Z | IH N | DH AH | P AE EH S T |,AY | N OW | W AH T | DH AH | D IY L | W AA Z | IH N | DH AH | P AE S T |,I know what the deal was in the past.,I know what the deal was in the past.,0,0.03225806452
